Player,BPM
Othyus Jeffers,-3.2
Otto Porter,-3.35
P.J. Hairston,-2.9
P.J. Tucker,-0.033333333333333326
Pablo Prigioni,0.19999999999999998
Patrick Beverley,1.4999999999999998
Patrick Christopher,-15.0
Patrick Patterson,0.0
Patty Mills,1.6
Pau Gasol,2.5250000000000004
Paul George,2.4749999999999996
Paul Millsap,3.1999999999999997
Paul Pierce,2.725
Pero Antić,-3.1999999999999997
Perry Jones,-4.366666666666666
Peyton Siva,-6.4
Phil Pressey,-2.25
Quentin Richardson,-8.25
Quincy Acy,-1.5666666666666667
Quincy Miller,-5.566666666666666
Quincy Pondexter,-1.5499999999999998
Raja Bell,-2.5
Rajon Rondo,0.8250000000000002
Ramon Sessions,-1.0750000000000002
Randy Foye,-0.27499999999999997
Rashard Lewis,-2.1
Rasheed Wallace,-1.0
Rasual Butler,-1.7333333333333334
Ray Allen*,0.7000000000000001
Ray McCallum,-2.55
Raymond Felton,-0.9999999999999999
Reggie Bullock,-3.25
Reggie Evans,-2.8000000000000003
Reggie Jackson,-0.575
Reggie Williams,-2.3
Renaldo Balkman,-0.5
Richard Hamilton,-2.85
Richard Jefferson,-1.0
Ricky Ledo,-6.0
Ricky Rubio,0.7999999999999999
Robbie Hummel,-3.05
Robert Covington,0.7
Robert Sacre,-5.3
Robin Lopez,-0.07500000000000004
Rodney Hood,-0.7
Rodney Stuckey,-0.95
Rodrigue Beaubois,-0.65
Roger Mason,-1.8666666666666665
Ronnie Brewer,-0.7999999999999999
Ronnie Price,-3.725
Ronny Turiaf,-1.15
Roy Hibbert,-0.375
Royal Ivey,-11.4
Royce White,-16.9
Rudy Fernández,0.7
Rudy Gay,1.85
Rudy Gobert,0.75
Russ Smith,-8.8
Russell Westbrook,5.25
Ryan Anderson,1.7750000000000001
Ryan Gomes,-7.4
Ryan Hollins,-3.75
Ryan Kelly,-2.4
Ryan Reid,-2.0
Sam Young,-2.5
Samardo Samuels,-5.75
Samuel Dalembert,-1.1
Sasha Pavlović,-2.8
Sasha Vujačić,-12.4
Scott Machado,-8.8
Scotty Hopson,-20.7
Sean Kilpatrick,-2.2
Sean Williams,0.4
Sebastian Telfair,-1.4666666666666668
Semih Erden,-4.8
Serge Ibaka,1.6
Sergey Karasev,-5.05
Seth Curry,-9.200000000000001
Shabazz Muhammad,-1.9
Shabazz Napier,-3.2
Shane Battier,0.6333333333333333
Shane Edwards,-13.3
Shane Larkin,-3.3
Shannon Brown,-4.05
Shaun Livingston,-0.675
Shavlik Randolph,-4.7
Shawn Marion,0.4750000000000001
Shawne Williams,-3.3666666666666667
Shayne Whittington,0.4
Shelden Williams,-3.3
Shelvin Mack,-2.025
Sim Bhullar,32.5
Solomon Alabi,-2.2
Solomon Hill,-1.95
Solomon Jones,-7.233333333333334
Spencer Dinwiddie,-2.8
Spencer Hawes,-0.17499999999999993
Stephen Curry,6.75
Stephen Jackson,-4.133333333333333
Steve Blake,-1.225
Steve Nash*,0.06666666666666658
Steve Novak,0.9499999999999998
Steven Adams,-1.75
Sundiata Gaines,0.3
T.J. Ford,-2.0
T.J. Warren,-0.9
Taj Gibson,-0.42500000000000004
Tarik Black,-2.1
Tayshaun Prince,-1.45
